video_url,author,text,time,votes,is_reply
https://youtu.be/DZIASl9q90s?si=56faVqrrQ9AiQZph,@hawkeyes4011,me,6 months ago,16,False
https://youtu.be/DZIASl9q90s?si=56faVqrrQ9AiQZph,@LiliVR-lr3cn,IDK,6 months ago,16,False
https://youtu.be/DZIASl9q90s?si=56faVqrrQ9AiQZph,@djbdgxhx5014,❤❤❤,6 months ago,10,False
https://youtu.be/DZIASl9q90s?si=56faVqrrQ9AiQZph,@DylanHernandez-i9i,HOLA,6 months ago,25,False
https://youtu.be/DZIASl9q90s?si=56faVqrrQ9AiQZph,@MercesMicro,Haaland,6 months ago,142,False
https://youtu.be/DZIASl9q90s?si=56faVqrrQ9AiQZph,@paradisesall7517,LeBron,6 months ago,109,False
https://youtu.be/DZIASl9q90s?si=56faVqrrQ9AiQZph,@Tender28,lebron,6 months ago,91,False
https://youtu.be/DZIASl9q90s?si=56faVqrrQ9AiQZph,@texanbulldog_fn,Mohamed salah,6 months ago,191,False
https://youtu.be/DZIASl9q90s?si=56faVqrrQ9AiQZph,@DylanHernandez-i9i,Is mrbeast,6 months ago,27,False
https://youtu.be/DZIASl9q90s?si=56faVqrrQ9AiQZph,@092_0x,Me,6 months ago,14,False
https://youtu.be/DZIASl9q90s?si=56faVqrrQ9AiQZph,@KendallBousum,PATRICK MAHOMES PLS,6 months ago,74,False
https://youtu.be/DZIASl9q90s?si=56faVqrrQ9AiQZph,@im_tired_28,Messi!!!!!!!!!,6 months ago,239,False
https://youtu.be/DZIASl9q90s?si=56faVqrrQ9AiQZph,@ochoachucky,Can I get a dollar?,6 months ago,19,False
https://youtu.be/DZIASl9q90s?si=56faVqrrQ9AiQZph,@juancruzpatrignani,Messi,6 months ago,209,False
https://youtu.be/DZIASl9q90s?si=56faVqrrQ9AiQZph,@muhammedsayan4578,Luka Modric,6 months ago,103,False
https://youtu.be/DZIASl9q90s?si=56faVqrrQ9AiQZph,@Coolamba-ep7ks,lebronnn,6 months ago,42,False
